# M_lo[MeV], M_hi[MeV], forkA_frac, forkB_frac
200, 240, 6.785007e-02, 6.713103e-02
240, 280, 7.868741e-02, 7.826996e-02
280, 320, 8.499088e-02, 8.508278e-02
320, 360, 8.732213e-02, 8.807291e-02
360, 400, 8.659562e-02, 8.808522e-02
400, 440, 8.376171e-02, 8.599547e-02
440, 480, 7.963181e-02, 8.252923e-02
480, 520, 7.479520e-02, 7.815907e-02
520, 560, 6.957898e-02, 7.303427e-02
560, 600, 6.401733e-02, 6.693129e-02
600, 640, 5.783094e-02, 5.930407e-02
640, 680, 5.049939e-02, 4.964351e-02
680, 720, 4.160941e-02, 3.822893e-02
720, 760, 3.149857e-02, 2.659765e-02
760, 800, 2.154530e-02, 1.675002e-02
800, 840, 1.329896e-02, 9.704823e-03
