# f[Hz]  Omega_total  Omega_last_bounce  Omega_comb_tail
# NVG derived template: f* = 2.80e-05 Hz, Omega* = 1.20e-09,
# comb spacing 2^(-1/3) = 0.7937, dilution 2^(4/3) = 2.5198
9.120108e-07  1.303502e-12  2.931780e-13  1.010324e-12
9.332543e-07  1.394549e-12  3.141047e-13  1.080444e-12
9.549926e-07  1.491873e-12  3.365230e-13  1.155350e-12
9.772372e-07  1.595898e-12  3.605390e-13  1.235359e-12
1.000000e-06  1.707079e-12  3.862664e-13  1.320812e-12
1.023293e-06  1.825896e-12  4.138266e-13  1.412070e-12
1.047129e-06  1.952865e-12  4.433500e-13  1.509515e-12
1.071519e-06  2.088534e-12  4.749760e-13  1.613558e-12
1.096478e-06  2.233486e-12  5.088539e-13  1.724632e-12
1.122018e-06  2.388342e-12  5.451435e-13  1.843199e-12
1.148154e-06  2.553766e-12  5.840159e-13  1.969751e-12
1.174898e-06  2.730463e-12  6.256543e-13  2.104809e-12
1.202264e-06  2.919183e-12  6.702548e-13  2.248929e-12
1.230269e-06  3.120727e-12  7.180274e-13  2.402699e-12
1.258925e-06  3.335944e-12  7.691968e-13  2.566747e-12
1.288250e-06  3.565741e-12  8.240034e-13  2.741738e-12
1.318257e-06  3.811082e-12  8.827048e-13  2.928377e-12
1.348963e-06  4.072991e-12  9.455763e-13  3.127415e-12
1.380384e-06  4.352560e-12  1.012913e-12  3.339647e-12
1.412538e-06  4.650947e-12  1.085030e-12  3.565917e-12
1.445440e-06  4.969388e-12  1.162265e-12  3.807123e-12
1.479108e-06  5.309192e-12  1.244980e-12  4.064212e-12
1.513561e-06  5.671754e-12  1.333561e-12  4.338193e-12
1.548817e-06  6.058554e-12  1.428421e-12  4.630133e-12
1.584893e-06  6.471166e-12  1.530003e-12  4.941164e-12
1.621810e-06  6.911262e-12  1.638779e-12  5.272483e-12
1.659587e-06  7.380617e-12  1.755257e-12  5.625360e-12
1.698244e-06  7.881115e-12  1.879976e-12  6.001138e-12
1.737801e-06  8.414756e-12  2.013517e-12  6.401239e-12
1.778279e-06  8.983665e-12  2.156498e-12  6.827168e-12
1.819701e-06  9.590093e-12  2.309580e-12  7.280514e-12
1.862087e-06  1.023643e-11  2.473470e-12  7.762959e-12
1.905461e-06  1.092521e-11  2.648927e-12  8.276281e-12
1.949845e-06  1.165911e-11  2.836756e-12  8.822355e-12
1.995262e-06  1.244099e-11  3.037823e-12  9.403165e-12
2.041738e-06  1.327385e-11  3.253049e-12  1.002080e-11
2.089296e-06  1.416089e-11  3.483422e-12  1.067747e-11
2.137962e-06  1.510550e-11  3.729995e-12  1.137550e-11
2.187762e-06  1.611123e-11  3.993893e-12  1.211734e-11
2.238721e-06  1.718189e-11  4.276317e-12  1.290558e-11
2.290868e-06  1.832148e-11  4.578552e-12  1.374292e-11
2.344229e-06  1.953421e-11  4.901966e-12  1.463225e-11
2.398833e-06  2.082457e-11  5.248023e-12  1.557655e-11
2.454709e-06  2.219728e-11  5.618283e-12  1.657900e-11
2.511886e-06  2.365733e-11  6.014411e-12  1.764292e-11
2.570396e-06  2.520997e-11  6.438183e-12  1.877179e-11
2.630268e-06  2.686077e-11  6.891495e-12  1.996927e-11
2.691535e-06  2.861556e-11  7.376368e-12  2.123920e-11
2.754229e-06  3.048053e-11  7.894954e-12  2.258558e-11
2.818383e-06  3.246217e-11  8.449550e-12  2.401262e-11
2.884032e-06  3.456733e-11  9.042602e-12  2.552473e-11
2.951209e-06  3.680320e-11  9.676716e-12  2.712648e-11
3.019952e-06  3.917735e-11  1.035467e-11  2.882268e-11
3.090295e-06  4.169773e-11  1.107941e-11  3.061832e-11
3.162278e-06  4.437272e-11  1.185409e-11  3.251863e-11
3.235937e-06  4.721107e-11  1.268206e-11  3.452902e-11
3.311311e-06  5.022200e-11  1.356686e-11  3.665514e-11
3.388442e-06  5.341513e-11  1.451229e-11  3.890284e-11
3.467369e-06  5.680059e-11  1.552236e-11  4.127823e-11
3.548134e-06  6.038894e-11  1.660135e-11  4.378759e-11
3.630781e-06  6.419124e-11  1.775380e-11  4.643745e-11
3.715352e-06  6.821906e-11  1.898451e-11  4.923455e-11
3.801894e-06  7.248445e-11  2.029860e-11  5.218585e-11
3.890451e-06  7.700000e-11  2.170148e-11  5.529852e-11
3.981072e-06  8.177883e-11  2.319889e-11  5.857994e-11
4.073803e-06  8.683459e-11  2.479691e-11  6.203768e-11
4.168694e-06  9.218149e-11  2.650199e-11  6.567950e-11
4.265795e-06  9.783428e-11  2.832093e-11  6.951335e-11
4.365158e-06  1.038083e-10  3.026093e-11  7.354733e-11
4.466836e-06  1.101193e-10  3.232961e-11  7.778969e-11
4.570882e-06  1.167838e-10  3.453498e-11  8.224883e-11
4.677351e-06  1.238188e-10  3.688554e-11  8.693324e-11
4.786301e-06  1.312417e-10  3.939021e-11  9.185150e-11
4.897788e-06  1.390707e-10  4.205841e-11  9.701225e-11
5.011872e-06  1.473242e-10  4.490003e-11  1.024241e-10
5.128614e-06  1.560213e-10  4.792549e-11  1.080958e-10
5.248075e-06  1.651817e-10  5.114572e-11  1.140360e-10
5.370318e-06  1.748253e-10  5.457219e-11  1.202531e-10
5.495409e-06  1.849724e-10  5.821692e-11  1.267555e-10
5.623413e-06  1.956440e-10  6.209249e-11  1.335515e-10
5.754399e-06  2.068610e-10  6.621206e-11  1.406490e-10
5.888437e-06  2.186450e-10  7.058934e-11  1.480557e-10
6.025596e-06  2.310175e-10  7.523864e-11  1.557789e-10
6.165950e-06  2.440003e-10  8.017485e-11  1.638255e-10
6.309573e-06  2.576152e-10  8.541345e-11  1.722018e-10
6.456542e-06  2.718841e-10  9.097046e-11  1.809136e-10
6.606934e-06  2.868286e-10  9.686248e-11  1.899661e-10
6.760830e-06  3.024703e-10  1.031067e-10  1.993636e-10
6.918310e-06  3.188302e-10  1.097207e-10  2.091095e-10
7.079458e-06  3.359292e-10  1.167227e-10  2.192065e-10
7.244360e-06  3.537873e-10  1.241313e-10  2.296560e-10
7.413102e-06  3.724239e-10  1.319656e-10  2.404583e-10
7.585776e-06  3.918574e-10  1.402448e-10  2.516125e-10
7.762471e-06  4.121052e-10  1.489888e-10  2.631163e-10
7.943282e-06  4.331834e-10  1.582175e-10  2.749659e-10
8.128305e-06  4.551065e-10  1.679508e-10  2.871557e-10
8.317638e-06  4.778877e-10  1.782089e-10  2.996787e-10
8.511380e-06  5.015377e-10  1.890119e-10  3.125259e-10
8.709636e-06  5.260657e-10  2.003795e-10  3.256861e-10
8.912509e-06  5.514780e-10  2.123314e-10  3.391466e-10
9.120108e-06  5.777785e-10  2.248866e-10  3.528919e-10
9.332543e-06  6.049681e-10  2.380635e-10  3.669046e-10
9.549926e-06  6.330446e-10  2.518796e-10  3.811650e-10
9.772372e-06  6.620022e-10  2.663517e-10  3.956505e-10
1.000000e-05  6.918314e-10  2.814949e-10  4.103366e-10
1.023293e-05  7.225187e-10  2.973231e-10  4.251957e-10
1.047129e-05  7.540462e-10  3.138484e-10  4.401978e-10
1.071519e-05  7.863913e-10  3.310810e-10  4.553103e-10
1.096478e-05  8.195266e-10  3.490287e-10  4.704978e-10
1.122018e-05  8.534193e-10  3.676968e-10  4.857225e-10
1.148154e-05  8.880314e-10  3.870875e-10  5.009439e-10
1.174898e-05  9.233189e-10  4.072001e-10  5.161188e-10
1.202264e-05  9.592322e-10  4.280303e-10  5.312019e-10
1.230269e-05  9.957151e-10  4.495697e-10  5.461454e-10
1.258925e-05  1.032705e-09  4.718059e-10  5.608994e-10
1.288250e-05  1.070134e-09  4.947219e-10  5.754122e-10
1.318257e-05  1.107926e-09  5.182959e-10  5.896301e-10
1.348963e-05  1.145999e-09  5.425007e-10  6.034982e-10
1.380384e-05  1.184264e-09  5.673039e-10  6.169603e-10
1.412538e-05  1.222627e-09  5.926672e-10  6.299594e-10
1.445440e-05  1.260984e-09  6.185461e-10  6.424379e-10
1.479108e-05  1.299228e-09  6.448901e-10  6.543382e-10
1.513561e-05  1.337245e-09  6.716422e-10  6.656030e-10
1.548817e-05  1.374915e-09  6.987389e-10  6.761756e-10
1.584893e-05  1.412111e-09  7.261102e-10  6.860008e-10
1.621810e-05  1.448704e-09  7.536793e-10  6.950246e-10
1.659587e-05  1.484559e-09  7.813629e-10  7.031957e-10
1.698244e-05  1.519537e-09  8.090717e-10  7.104650e-10
1.737801e-05  1.553497e-09  8.367098e-10  7.167867e-10
1.778279e-05  1.586295e-09  8.641759e-10  7.221187e-10
1.819701e-05  1.617786e-09  8.913630e-10  7.264228e-10
1.862087e-05  1.647825e-09  9.181596e-10  7.296656e-10
1.905461e-05  1.676268e-09  9.444496e-10  7.318184e-10
1.949845e-05  1.702972e-09  9.701136e-10  7.328580e-10
1.995262e-05  1.727796e-09  9.950296e-10  7.327667e-10
2.041738e-05  1.750607e-09  1.019074e-09  7.315329e-10
2.089296e-05  1.771272e-09  1.042121e-09  7.291512e-10
2.137962e-05  1.789670e-09  1.064047e-09  7.256225e-10
2.187762e-05  1.805683e-09  1.084729e-09  7.209542e-10
2.238721e-05  1.819206e-09  1.104046e-09  7.151602e-10
2.290868e-05  1.830142e-09  1.121882e-09  7.082608e-10
2.344229e-05  1.838407e-09  1.138124e-09  7.002827e-10
2.398833e-05  1.843927e-09  1.152668e-09  6.912590e-10
2.454709e-05  1.846644e-09  1.165415e-09  6.812284e-10
2.511886e-05  1.846512e-09  1.176277e-09  6.702353e-10
2.570396e-05  1.843502e-09  1.185173e-09  6.583294e-10
2.630268e-05  1.837600e-09  1.192035e-09  6.455651e-10
2.691535e-05  1.828807e-09  1.196806e-09  6.320011e-10
2.754229e-05  1.817142e-09  1.199442e-09  6.176997e-10
2.818383e-05  1.802638e-09  1.199912e-09  6.027266e-10
2.884032e-05  1.785348e-09  1.198198e-09  5.871498e-10
2.951209e-05  1.765336e-09  1.194297e-09  5.710394e-10
3.019952e-05  1.742687e-09  1.188220e-09  5.544667e-10
3.090295e-05  1.717497e-09  1.179993e-09  5.375036e-10
3.162278e-05  1.689877e-09  1.169655e-09  5.202221e-10
3.235937e-05  1.659953e-09  1.157259e-09  5.026935e-10
3.311311e-05  1.627861e-09  1.142872e-09  4.849883e-10
3.388442e-05  1.593748e-09  1.126573e-09  4.671748e-10
3.467369e-05  1.557772e-09  1.108452e-09  4.493196e-10
3.548134e-05  1.520097e-09  1.088611e-09  4.314863e-10
3.630781e-05  1.480896e-09  1.067160e-09  4.137357e-10
3.715352e-05  1.440343e-09  1.044218e-09  3.961251e-10
3.801894e-05  1.398620e-09  1.019912e-09  3.787081e-10
3.890451e-05  1.355906e-09  9.943717e-10  3.615344e-10
3.981072e-05  1.312384e-09  9.677342e-10  3.446497e-10
4.073803e-05  1.268233e-09  9.401378e-10  3.280954e-10
4.168694e-05  1.223631e-09  9.117224e-10  3.119087e-10
4.265795e-05  1.178751e-09  8.826282e-10  2.961224e-10
4.365158e-05  1.133759e-09  8.529940e-10  2.807652e-10
4.466836e-05  1.088818e-09  8.229563e-10  2.658614e-10
